|              col0              |                                          col1                                          |
| Attribute                      | /usr/lib/python3.10/email/feedparser.py:62                                             |
| Attribute                      | /usr/lib/python3.10/email/feedparser.py:148                                            |
| Attribute                      | /usr/lib/python3.10/email/feedparser.py:167                                            |
| linesep                        | /usr/lib/python3.10/email/feedparser.py:337                                            |
| close_boundary_seen            | /usr/lib/python3.10/email/feedparser.py:338                                            |
| capturing_preamble             | /usr/lib/python3.10/email/feedparser.py:366                                            |
| copy_it                        | /usr/lib/python3.10/distutils/file_util.py:201                                         |
| files_found                    | /usr/lib/python3.10/distutils/filelist.py:206                                          |
| files_found                    | /usr/lib/python3.10/distutils/filelist.py:231                                          |
| pats_built                     | /usr/lib/python3.10/lib2to3/fixer_util.py:228                                          |
| trust_server_pasv_ipv4_address | /usr/lib/python3.10/ftplib.py:107                                                      |
| Attribute                      | /usr/lib/python3.10/ftplib.py:739                                                      |
| Attribute                      | /usr/lib/python3.10/ftplib.py:787                                                      |
| full                           | /usr/lib/python3.10/functools.py:533                                                   |
| full                           | /usr/lib/python3.10/functools.py:635                                                   |
| _asyncio_future_blocking       | /usr/lib/python3.10/asyncio/futures.py:68                                              |
| __log_traceback                | /usr/lib/python3.10/asyncio/futures.py:70                                              |
| Attribute                      | /usr/lib/python3.10/asyncio/futures.py:120                                             |
| Attribute                      | /usr/lib/python3.10/asyncio/futures.py:151                                             |
| Attribute                      | /usr/lib/python3.10/asyncio/futures.py:199                                             |
| Attribute                      | /usr/lib/python3.10/asyncio/futures.py:217                                             |
| hasstr                         | /usr/lib/python3.10/genericpath.py:145                                                 |
| all_options_first              | /usr/lib/python3.10/getopt.py:128                                                      |
| Attribute                      | /usr/lib/python3.10/gzip.py:491                                                        |
| first                          | /usr/lib/python3.10/email/header.py:93                                                 |
| hasspace                       | /usr/lib/python3.10/email/header.py:368                                                |
| Attribute                      | /usr/lib/python3.10/inspect.py:1051                                                    |
| Attribute                      | /usr/lib/python3.10/inspect.py:1052                                                    |
| Attribute                      | /usr/lib/python3.10/inspect.py:1053                                                    |
| Attribute                      | /usr/lib/python3.10/inspect.py:1054                                                    |
| Attribute                      | /usr/lib/python3.10/inspect.py:1055                                                    |
| Attribute                      | /usr/lib/python3.10/inspect.py:1075                                                    |
| Attribute                      | /usr/lib/python3.10/inspect.py:1076                                                    |
| Attribute                      | /usr/lib/python3.10/inspect.py:1078                                                    |
| Attribute                      | /usr/lib/python3.10/inspect.py:1085                                                    |
| transform_to_kwonly            | /usr/lib/python3.10/inspect.py:1910                                                    |
| delayed_comma                  | /usr/lib/python3.10/inspect.py:2073                                                    |
| skip_next_comma                | /usr/lib/python3.10/inspect.py:2074                                                    |
| skip_next_comma                | /usr/lib/python3.10/inspect.py:2092                                                    |
| delayed_comma                  | /usr/lib/python3.10/inspect.py:2112                                                    |
| is_duck_function               | /usr/lib/python3.10/inspect.py:2280                                                    |
| kwargs_started                 | /usr/lib/python3.10/inspect.py:2806                                                    |
| kind_defaults                  | /usr/lib/python3.10/inspect.py:2925                                                    |
| kind_defaults                  | /usr/lib/python3.10/inspect.py:2940                                                    |
| render_pos_only_separator      | /usr/lib/python3.10/inspect.py:3201                                                    |
| render_pos_only_separator      | /usr/lib/python3.10/inspect.py:3214                                                    |
| render_kw_only_separator       | /usr/lib/python3.10/inspect.py:3219                                                    |
| render_kw_only_separator       | /usr/lib/python3.10/inspect.py:3227                                                    |
| set_implicit_top               | /usr/lib/python3.10/unittest/loader.py:270                                             |
| is_not_importable              | /usr/lib/python3.10/unittest/loader.py:288                                             |
| is_namespace                   | /usr/lib/python3.10/unittest/loader.py:289                                             |
| Attribute                      | /usr/lib/python3.10/asyncio/locks.py:80                                                |
| Attribute                      | /usr/lib/python3.10/asyncio/locks.py:137                                               |
| Attribute                      | /usr/lib/python3.10/asyncio/locks.py:170                                               |
| Attribute                      | /usr/lib/python3.10/asyncio/locks.py:199                                               |
| cancelled                      | /usr/lib/python3.10/asyncio/locks.py:276                                               |
| Attribute                      | /usr/lib/python3.10/asyncio/locks.py:354                                               |
| Attribute                      | /usr/lib/python3.10/asyncio/locks.py:392                                               |
| Attribute                      | /usr/lib/python3.10/lzma.py:94                                                         |
| Attribute                      | /usr/lib/python3.10/lzma.py:155                                                        |
| Attribute                      | /usr/lib/python3.10/unittest/main.py:182                                               |
| Attribute                      | /usr/lib/python3.10/unittest/main.py:187                                               |
| Attribute                      | /usr/lib/python3.10/unittest/main.py:192                                               |
| foundp                         | /usr/lib/python3.10/email/message.py:852                                               |
| found                          | /usr/lib/python3.10/email/message.py:1060                                              |
| inited                         | /usr/lib/python3.10/mimetypes.py:60                                                    |
| Attribute                      | /usr/lib/python3.10/optparse.py:1289                                                   |
| had_explicit_value             | /usr/lib/python3.10/optparse.py:1478                                                   |
| stop                           | /usr/lib/python3.10/optparse.py:1505                                                   |
| is_dir                         | /usr/lib/python3.10/os.py:380                                                          |
| is_symlink                     | /usr/lib/python3.10/os.py:399                                                          |
| can                            | /usr/lib/python3.10/test/support/os_helper.py:179                                      |
| can                            | /usr/lib/python3.10/test/support/os_helper.py:202                                      |
| can                            | /usr/lib/python3.10/test/support/os_helper.py:220                                      |
| dir_created                    | /usr/lib/python3.10/test/support/os_helper.py:378                                      |
| has_drv                        | /usr/lib/python3.10/pathlib.py:234                                                     |
| Attribute                      | /usr/lib/python3.10/pathlib.py:396                                                     |
| entry_is_dir                   | /usr/lib/python3.10/pathlib.py:474                                                     |
| Attribute                      | /usr/lib/python3.10/pdb.py:153                                                         |
| Attribute                      | /usr/lib/python3.10/pdb.py:162                                                         |
| Attribute                      | /usr/lib/python3.10/pdb.py:184                                                         |
| Attribute                      | /usr/lib/python3.10/pdb.py:260                                                         |
| Attribute                      | /usr/lib/python3.10/pdb.py:323                                                         |
| Subscript                      | /usr/lib/python3.10/pdb.py:449                                                         |
| Subscript                      | /usr/lib/python3.10/pdb.py:575                                                         |
| Attribute                      | /usr/lib/python3.10/pdb.py:594                                                         |
| Attribute                      | /usr/lib/python3.10/pdb.py:1546                                                        |
| Attribute                      | /usr/lib/python3.10/pdb.py:1582                                                        |
