repo_url,stars,forks
https://github.com/pdamoune/boilerplate,2,1
https://github.com/quanpower/Friday,2,0
https://github.com/sankamuk/airflow-localexecutor,2,1
https://github.com/seanmckaybeck/FlaskTemplate,2,0
https://github.com/sofikalugina/parashoes,2,0
https://github.com/ssleap/bication,2,1
https://github.com/sssemion/xakanet2021,2,0
https://github.com/tassaron/tabletop-story,2,0
https://github.com/tbj128/mian,2,4
https://github.com/tolgahanuzun/steemit-analiysis,2,0
https://github.com/uknof/shortener,2,0
https://github.com/urbas/webpi,2,0
https://github.com/uva-hydroinformatics/FloodWarningModelProject,2,1
https://github.com/vvarodi/TheaterWebFlask,2,1
https://github.com/wanman/incubator-airflow,2,2
https://github.com/webclinic017/Termux,2,1
https://github.com/windwave/windmapchina,2,0
https://github.com/wpi-acm/Hack-WPI-Python,2,1
https://github.com/wu-wenxiang/ZZLARGE-Project-Flask-abbyBlog,2,2
https://github.com/xiakunhou/FlaskProject,2,0
https://github.com/zmailloux/ping-pong-monitor,2,0
https://github.com/21F0rc3/Portefolio,1,0
https://github.com/AIn0n/akwarium,1,1
https://github.com/AbaPro/Human-Fall-Detection,1,0
https://github.com/Adeema-Amir/Deema-Shopping-Mart-With-Django,1,0
https://github.com/Atwinenickson/Socialmediaclassifier-,1,0
https://github.com/Beyyes/Titan,1,0
https://github.com/BrainAnnex/brain-annex,1,1
https://github.com/CK-ghub/EzMart-Shopping-Website,1,0
https://github.com/CyberSoc-Newcastle/owasp-falihax,1,11
https://github.com/DecentralAI-HackFS/DecentralAI,1,0
https://github.com/Dhruv-Sabharwal/HyperHire,1,0
https://github.com/EnterpriseyIntranet/teap,1,2
https://github.com/FeatureBaseDB/SlothAI,1,1
https://github.com/IBM-EPBL/IBM-Project-20955-1659767896,1,2
https://github.com/IBM-EPBL/IBM-Project-52881-1661172787,1,0
https://github.com/Ingi-Hong/PhotoshareApp,1,0
https://github.com/Jamie-/ctf-flag-tracker,1,0
https://github.com/KeithLev/Devops-Course-Starter,1,0
https://github.com/Language-Tools/anki-vocabai,1,0
https://github.com/MADScience-Team/fasttextdb,1,0
https://github.com/Matteas-Eden/AUCS_Hackathon_2019,1,1
https://github.com/MegatronBultema/FraggleRockHits_public,1,0
https://github.com/MolSSI/qikpropservice,1,0
https://github.com/NTU-ToolmenLab/labbox,1,0
https://github.com/OSQUAREG/sciscut-url-shortener-flaskapi-reactjs,1,0
https://github.com/PredatorFeesh/PointMe-,1,0
https://github.com/PredatorFeesh/RestaurantSystem-csc322,1,0
https://github.com/Priyankadev/pyvoting,1,3
https://github.com/REO2248/krdict_http_server,1,0
https://github.com/RishabhGupta34/Codechef_App,1,0
https://github.com/Russ95/4111_web_application,1,0
https://github.com/SacStateOctobots/RowingClubWebsite,1,0
https://github.com/Sapphirine/Google-Merchandise-Store-Data-Analysis,1,3
https://github.com/Shalyne-Waweru/Mic-Drop,1,0
https://github.com/TAS-scorchedshadow/ProAnalytics,1,0
https://github.com/Textrade/Textrade,1,0
https://github.com/VitorBonella/ProjetoIntegrado1-2021-1,1,0
https://github.com/Waynel65/C2_Engineering_Project,1,1
https://github.com/WoodyZantzinger/dota2groupme,1,4
https://github.com/Yogorouza/Shanari,1,0
https://github.com/ZacBlanco/ChefBoyRD,1,3
https://github.com/aatmdev/apacheairflow,1,0
https://github.com/aktechthoughts/airflow-examples,1,0
https://github.com/alexcolls/mars-attack,1,0
https://github.com/avalentino/slim,1,0
https://github.com/badubizzle/flask-graphql,1,0
https://github.com/beasteers/uoimdb,1,1
https://github.com/bhsei/20_C,1,1
https://github.com/cernops/acron,1,2
https://github.com/chriss1245/movie_theather,1,0
https://github.com/cosformula/SHU-Club-Manager,1,0
https://github.com/dannycrief/flask_scheduler,1,0
https://github.com/devtlv/Python-S19,1,3
https://github.com/devtlv/kids_2020,1,0
https://github.com/dkohlsdorf/wdp-ds,1,0
https://github.com/ehknight/ESG,1,0
https://github.com/erelsgl-at-ariel/research-5783,1,3
https://github.com/eric-erki/Mycodo,1,2
https://github.com/eseom/flaskpack,1,0
https://github.com/falquaddoomi/slm_histviz,1,1
https://github.com/fangpenlin/rocket-launcher-sampleapp,1,0
https://github.com/fbkarsdorp/deepflow,1,1
https://github.com/freelancer/freelancer-oauth-demo-app,1,3
https://github.com/gabrieldutra/gae-python-jobstest,1,0
https://github.com/haze/ill.fi,1,1
https://github.com/headrun/SWIFT,1,0
https://github.com/hugorodgerbrown/lido-temp,1,0
https://github.com/ideascube/bsfcampus-api,1,0
https://github.com/imind-inc/blog,1,0
https://github.com/invenio-toaster/invenio-accounts,1,0
https://github.com/jbaiad/jobhunter,1,0
https://github.com/jdraiv/FlaskAuth,1,1
https://github.com/jerbaroo/flask-access,1,0
https://github.com/jeremystevens/pybin2,1,0
https://github.com/jeremystevens/pybinV1,1,0
https://github.com/jeremystevens/spacenook,1,0
https://github.com/jlopezvi/Consensus,1,0
https://github.com/joshbrew/robo-animator,1,2
https://github.com/jphacks/C_2204,1,2
https://github.com/jphacks/D_2117,1,2
https://github.com/jszhtian/SimpleTM,1,0
https://github.com/jtschoonhoven/capture-the-flag,1,2
https://github.com/juli-vert/VueFlaskLogin,1,0
https://github.com/kamaal44/Termux-2,1,0
https://github.com/kamoltat/ParserPals-hackbeanpot2019,1,0
https://github.com/kellpossible/gear-store-inventory,1,0
https://github.com/kyujin-cho/dockerwatcher,1,0
https://github.com/labeneator/flask-roles,1,1
https://github.com/level12/keg-auth,1,4
https://github.com/m4nik1/ScoutingDatabase,1,0
https://github.com/mackerelstorm/DAT250,1,0
https://github.com/manojnuvvala/FlaskDevelopment,1,0
https://github.com/michael7nightingale/Memories-Flask,1,0
https://github.com/mitmedialab/MediaMeter-Frequency,1,0
https://github.com/mitmedialab/MediaMeter-Mentions,1,0
https://github.com/mprohorov/YuMu,1,0
https://github.com/mskcc/igo-sample-qc-backend,1,1
https://github.com/mwollenweber/BlockManager,1,0
https://github.com/ncsa/jiracmdline,1,0
https://github.com/neilpatel13/Banking-Application,1,0
https://github.com/niclabs/adkintunmobile-server,1,1
https://github.com/omartarek198/Smart_Fleet_Tracking_System,1,0
https://github.com/ondiekelijah/Hostel-Reach-and-Reservation,1,0
https://github.com/ondiekelijah/Truck-Hiring-Web-App,1,0
https://github.com/pcarleton/google-signin-example,1,0
https://github.com/prabeesh/flask-example,1,0
https://github.com/priyankamistry18/IS601-007,1,0
https://github.com/profi248/photoghast,1,0
https://github.com/raskitoma/pls_admin,1,2
https://github.com/retroherna/rhinventory,1,0
https://github.com/robinlin1973/vr_demo,1,0
https://github.com/shatsky/dnsfw,1,0
https://github.com/smurphboy/OARCLogger,1,0
https://github.com/software-students-fall2022/final-project-project5team10,1,3
https://github.com/somdev-hub/palmchat,1,0
https://github.com/sorsater/on-course,1,0
https://github.com/sunnypranay/style-and-smile,1,7
https://github.com/susravan/User-behavior-logging,1,0
https://github.com/sync-for-science/auth-proxy,1,0
https://github.com/topless/less-tabs,1,0
https://github.com/trb116/pythonanalyzer,1,3
https://github.com/troop380/Quartermaster-game,1,3
https://github.com/voipiran/qpanel,1,0
https://github.com/voipiran/qpanel-dev,1,0
https://github.com/weblab-class/minerva-news,1,1
https://github.com/witkiewiczmikolaj/helbreder,1,0
https://github.com/wyc-wyll/CS411_RealBuddy,1,0
https://github.com/znes/openmod.sh,1,1
https://github.com/1roshanekka/GroceryStore,0,1
https://github.com/2022-csc-59866/Notary-Business-Website,0,0
https://github.com/3104yoshi/Myblog,0,0
https://github.com/3104yoshi/Ranking_new,0,0
https://github.com/3104yoshi/docker_sample,0,0
https://github.com/440hzStudio/musicresults,0,0
https://github.com/AChelikani/Puzzle-Hunt-Site,0,0
https://github.com/AaronCrawfis/HesburghHack2017,0,0
https://github.com/AdeelAmad/mumbo-backend,0,0
https://github.com/Adhithya7/IS601-007,0,0
https://github.com/AeonSw4n/CS460Pa1,0,0
https://github.com/AgusITSEC/TEST-ADguardrail,0,0
https://github.com/AlShag/OilCalculator,0,0
https://github.com/Alestrange/Womanup,0,0
https://github.com/AlexApps99/tt2,0,0
https://github.com/AlexandreClose/iatradingbot,0,3
https://github.com/AlysonBasilio/Alfred,0,0
https://github.com/AminuBishir/blog-with-flask,0,0
https://github.com/Andrewerr/GoTo_help_Flask,0,0
https://github.com/Apexal/fieri,0,0
https://github.com/Artembase/Python_Flask,0,0
https://github.com/ArturZiolkowski1999/fluskProjects,0,0
https://github.com/AsadHusn/Python,0,0
https://github.com/Babchenok1work/FlaskExample,0,0
