repo_name,repo_url,stars,contributors,commits,update_date,forks,jsonb_agg
gt4sd-core,https://github.com/GT4SD/gt4sd-core,283,16,283,2023-12-20 04:09:51,60,"[{""Python"": 1735210, ""Dockerfile"": 626, ""Jupyter Notebook"": 5411576}]"
flamenco,https://github.com/armadillica/flamenco,257,17,1971,2023-11-21 12:06:57,53,"[{""Pug"": 56762, ""Sass"": 22853, ""Shell"": 768, ""Python"": 585843, ""JavaScript"": 52741}]"
paperboy,https://github.com/timkpaine/paperboy,245,3,343,2023-12-20 03:35:20,26,"[{""CSS"": 20322, ""HTML"": 5894, ""Shell"": 576, ""Python"": 257137, ""Smarty"": 5154, ""JavaScript"": 650, ""TypeScript"": 81212}]"
pandora,https://github.com/pandora-analysis/pandora,224,13,814,2023-12-22 18:48:52,34,"[{""CSS"": 3016, ""HTML"": 76983, ""Shell"": 72, ""Python"": 321513, ""Dockerfile"": 1308, ""JavaScript"": 26221}]"
anitya,https://github.com/fedora-infra/anitya,222,73,2535,2023-12-09 12:32:46,93,"[{""CSS"": 3865, ""HTML"": 90191, ""Mako"": 413, ""Shell"": 1086, ""Python"": 1133442, ""Makefile"": 1430}]"
aioflask,https://github.com/miguelgrinberg/aioflask,201,0,45,2023-12-08 14:56:37,16,"[{""HTML"": 25, ""Python"": 45302}]"
VWsFriend,https://github.com/tillsteinbach/VWsFriend,189,4,1296,2023-12-19 04:11:43,16,"[{""CSS"": 1449, ""HTML"": 98811, ""Mako"": 494, ""Python"": 390158, ""Makefile"": 513, ""Dockerfile"": 3598}]"
RansomLook,https://github.com/RansomLook/RansomLook,178,4,418,2023-12-19 15:02:37,34,"[{""CSS"": 28666, ""HTML"": 53098, ""Python"": 278363, ""Dockerfile"": 860, ""JavaScript"": 792}]"
qpanel,https://github.com/roramirez/qpanel,167,12,746,2023-11-28 10:37:19,106,"[{""CSS"": 507772, ""HTML"": 147486, ""SCSS"": 427910, ""Shell"": 888, ""Python"": 83132, ""Dockerfile"": 1483, ""JavaScript"": 42965}]"
Kinopoisk.bundle,https://github.com/amirotin/Kinopoisk.bundle,160,9,146,2023-12-16 14:41:54,41,"[{""Python"": 2422549}]"
SimplePyScripts,https://github.com/gil9red/SimplePyScripts,142,7,7545,2023-12-06 06:16:15,35,"[{""C++"": 151, ""CSS"": 1132581, ""QML"": 921, ""HTML"": 2438921, ""Roff"": 43139, ""Python"": 4962751, ""kvlang"": 1437, ""Batchfile"": 2589, ""JavaScript"": 1681714, ""PowerShell"": 71, ""Jupyter Notebook"": 31113, ""Rich Text Format"": 109052}]"
detecting-scientific-claim,https://github.com/titipata/detecting-scientific-claim,140,3,114,2023-12-20 03:32:28,19,"[{""CSS"": 16441, ""HTML"": 18560, ""Shell"": 243, ""Python"": 113790}]"
coldsweat,https://github.com/passiomatic/coldsweat,132,4,436,2023-12-19 15:25:41,20,"[{""HTML"": 32400, ""SCSS"": 134671, ""Python"": 103144, ""Makefile"": 1444, ""JavaScript"": 11192}]"
ApiLogicServer,https://github.com/valhuber/ApiLogicServer,125,3,2548,2023-10-05 04:58:36,22,"[{""HTML"": 9766, ""Mako"": 494, ""TSQL"": 1379537, ""Shell"": 33290, ""Python"": 1013620, ""Gherkin"": 3161, ""Dockerfile"": 29838, ""JavaScript"": 17727, ""PowerShell"": 4772}]"
poopak,https://github.com/teal33t/poopak,124,2,105,2023-12-16 12:04:27,30,"[{""CSS"": 2480, ""HTML"": 36333, ""Python"": 52944, ""Dockerfile"": 247, ""JavaScript"": 13653}]"
OctoBot-Tentacles,https://github.com/Drakkar-Software/OctoBot-Tentacles,114,10,2055,2023-12-03 00:44:55,68,"[{""CSS"": 13152, ""HTML"": 334270, ""Cython"": 8174, ""Python"": 2371857, ""JavaScript"": 270364}]"
lnetd,https://github.com/cpmarvin/lnetd,114,0,146,2023-12-19 08:35:22,12,"[{""CSS"": 528588, ""HTML"": 209272, ""Mako"": 494, ""SCSS"": 69005, ""Shell"": 162, ""Python"": 495990, ""JavaScript"": 128775}]"
omf,https://github.com/dpinney/omf,111,43,7839,2023-12-13 15:56:58,62,"[{""CSS"": 80647, ""HTML"": 1392543, ""Shell"": 1133, ""MATLAB"": 2235, ""Python"": 1616668, ""Dockerfile"": 1099, ""JavaScript"": 1467539}]"
osm-wikidata,https://github.com/EdwardBetts/osm-wikidata,100,8,2355,2023-12-07 14:49:45,20,"[{""CSS"": 4566, ""HTML"": 117298, ""Python"": 673557, ""JavaScript"": 25315}]"
python,https://github.com/on-nix/python,100,7,2472,2023-12-15 02:51:33,46,"[{""Nix"": 49174, ""Shell"": 6668, ""Python"": 27351}]"
Crack-O-Matic,https://github.com/AdrianVollmer/Crack-O-Matic,99,0,59,2023-12-16 02:00:43,3,"[{""CSS"": 3550, ""HTML"": 16513, ""Jinja"": 3058, ""Python"": 141559, ""JavaScript"": 3789}]"
blenderkit,https://github.com/BlenderKit/blenderkit,97,17,1155,2023-12-19 18:25:56,16,"[{""Python"": 1503642}]"
conbench,https://github.com/conbench/conbench,95,19,902,2023-12-20 04:00:34,20,"[{""CSS"": 9060, ""HTML"": 123615, ""Mako"": 494, ""Jinja"": 225, ""Shell"": 21561, ""Python"": 1382159, ""Jsonnet"": 11819, ""Makefile"": 16607, ""Dockerfile"": 4809}]"
ThreatKB,https://github.com/InQuest/ThreatKB,90,14,1228,2023-12-13 06:14:41,18,"[{""CSS"": 13018, ""HTML"": 238126, ""Mako"": 494, ""Shell"": 6060, ""Python"": 503688, ""Batchfile"": 530, ""Dockerfile"": 1309, ""JavaScript"": 734935}]"
AlarmPI,https://github.com/bkbilly/AlarmPI,87,2,231,2023-12-14 19:30:56,12,"[{""C"": 13644, ""CSS"": 12880, ""HTML"": 19612, ""Shell"": 5902, ""Python"": 75157, ""Makefile"": 212, ""Dockerfile"": 387, ""JavaScript"": 15556}]"
Hands-On-Graph-Analytics-with-Neo4j,https://github.com/PacktPublishing/Hands-On-Graph-Analytics-with-Neo4j,77,5,53,2023-12-07 17:22:31,44,"[{""CSS"": 63, ""HTML"": 8715, ""Shell"": 642, ""Python"": 18490, ""JavaScript"": 12605, ""Jupyter Notebook"": 962100}]"
web-tools,https://github.com/mediacloud/web-tools,64,12,6806,2023-12-14 15:43:33,31,"[{""HTML"": 1358, ""SCSS"": 92013, ""Shell"": 287, ""Python"": 523424, ""Makefile"": 454, ""Procfile"": 50, ""JavaScript"": 39314623}]"
walnuts,https://github.com/sunhetao/walnuts,59,0,32,2023-08-24 03:07:08,19,"[{""HTML"": 7887, ""Python"": 53064}]"
morsechat,https://github.com/robalb/morsechat,57,3,588,2023-11-12 21:58:16,5,"[{""CSS"": 22567, ""PHP"": 45511, ""HTML"": 1498, ""Hack"": 4896, ""Shell"": 5271, ""Python"": 42008, ""Dockerfile"": 149, ""JavaScript"": 144957, ""TypeScript"": 2401}]"
Baobab,https://github.com/deep-learning-indaba/Baobab,52,42,4038,2023-12-20 03:37:38,34,"[{""CSS"": 47757, ""HTML"": 5671, ""Mako"": 412, ""Shell"": 1096, ""Python"": 2047797, ""PLpgSQL"": 159, ""Dockerfile"": 806, ""JavaScript"": 724035}]"
little_brother,https://github.com/marcus67/little_brother,51,4,473,2023-12-22 15:00:43,8,"[{""CSS"": 8864, ""HTML"": 85546, ""Mako"": 494, ""Shell"": 24502, ""Python"": 803601, ""Dockerfile"": 9497, ""JavaScript"": 3886}]"
malgazer,https://github.com/keithjjones/malgazer,51,0,924,2023-09-28 10:39:17,17,"[{""CSS"": 264, ""HTML"": 13408, ""Shell"": 988, ""Python"": 209428}]"
anki-hyper-tts,https://github.com/Language-Tools/anki-hyper-tts,50,0,1222,2023-12-19 10:56:35,7,"[{""HTML"": 175, ""Shell"": 2562, ""Python"": 2163758, ""Dockerfile"": 1947}]"
LazyBlacksmith,https://github.com/Kyria/LazyBlacksmith,49,6,596,2023-11-23 01:35:42,27,"[{""HTML"": 219613, ""Mako"": 557, ""SCSS"": 226990, ""Shell"": 1707, ""Python"": 192854, ""Dockerfile"": 2005, ""JavaScript"": 402713}]"
danforth-east,https://github.com/adam-p/danforth-east,49,0,90,2023-11-29 23:53:25,14,"[{""CSS"": 2472, ""HTML"": 667, ""Jinja"": 64425, ""Python"": 105832, ""JavaScript"": 32568}]"
Programming-CookBook,https://github.com/Koubae/Programming-CookBook,42,2,449,2023-12-06 18:27:25,18,"[{""C"": 193480, ""Go"": 21973, ""C++"": 17751, ""CSS"": 89390, ""EJS"": 262, ""PHP"": 47271, ""Vue"": 5486, ""HTML"": 242214, ""Hack"": 1990, ""Java"": 150055, ""Mako"": 1482, ""XSLT"": 6583, ""Shell"": 54656, ""Python"": 1193360, ""kvlang"": 725, ""PLpgSQL"": 13529, ""Batchfile"": 6828, ""Dockerfile"": 192, ""JavaScript"": 285223, ""TypeScript"": 814}]"
labonneboite,https://github.com/StartupsPoleEmploi/labonneboite,42,18,2539,2023-04-28 17:18:33,15,"[{""CSS"": 74682, ""HTML"": 196307, ""Mako"": 510, ""Shell"": 1372, ""Python"": 964997, ""Makefile"": 586, ""Dockerfile"": 1343, ""JavaScript"": 38755}]"
OpenPLC61850,https://github.com/smartgridadsc/OpenPLC61850,38,2,45,2023-12-22 18:21:16,14,"[{""C"": 3961304, ""C#"": 781754, ""M4"": 17677, ""C++"": 11073105, ""CSS"": 62915, ""Lua"": 2376, ""TeX"": 1961, ""HTML"": 699268, ""Java"": 549498, ""LLVM"": 82771, ""Perl"": 36460, ""Ruby"": 468, ""SWIG"": 1470, ""XSLT"": 76405, ""Yacc"": 375960, ""CMake"": 55014, ""Scala"": 174704, ""Shell"": 398320, ""Python"": 267193, ""Makefile"": 62238, ""Batchfile"": 1381, ""Smalltalk"": 270, ""Dockerfile"": 119, ""JavaScript"": 418863, ""PowerShell"": 4458}]"
izone,https://github.com/ZHAISHENKING/izone,37,2,80,2023-05-05 14:10:58,27,"[{""CSS"": 1030, ""HTML"": 22009, ""Python"": 43509}]"
PyTorrent,https://github.com/fla-sil/PyTorrent,34,4,63,2023-11-22 08:56:52,21,[{}]
vulyk,https://github.com/mrgambal/vulyk,34,5,370,2023-10-05 17:25:50,6,"[{""CSS"": 8485, ""HTML"": 14644, ""Python"": 379493, ""Makefile"": 1491, ""Procfile"": 260, ""JavaScript"": 4062}]"
pillar,https://github.com/armadillica/pillar,31,6,2406,2023-07-30 12:22:33,4,"[{""CSS"": 262332, ""HTML"": 149592, ""Shell"": 853, ""Python"": 1241318, ""JavaScript"": 235275}]"
gitlab-analytics,https://github.com/NDHWAlliance/gitlab-analytics,28,3,87,2023-12-05 14:53:18,4,"[{""CSS"": 865, ""HTML"": 17036, ""Python"": 74550, ""Makefile"": 901, ""Dockerfile"": 643}]"
ADRFinder,https://github.com/ChuckMac/ADRFinder,27,2,57,2023-11-15 00:10:56,13,"[{""CSS"": 12491, ""HTML"": 23802, ""SCSS"": 11773, ""Jinja"": 6852, ""Shell"": 660, ""Python"": 125574, ""Procfile"": 55, ""Dockerfile"": 1980, ""JavaScript"": 1604}]"
gae-init-babel,https://github.com/gae-init/gae-init-babel,26,19,2754,2022-11-21 03:20:32,9,"[{""HTML"": 68017, ""Less"": 5745, ""Shell"": 1192, ""Python"": 117145, ""JavaScript"": 18741}]"
kdm-manager,https://github.com/toconnell/kdm-manager,26,3,787,2023-10-23 15:25:43,11,"[{""CSS"": 229801, ""HTML"": 651233, ""Shell"": 1395, ""Python"": 126190, ""JavaScript"": 185130}]"
machine-reading-comprehension,https://github.com/burglarhobbit/machine-reading-comprehension,25,0,43,2022-11-16 16:32:41,11,"[{""CSS"": 4541, ""HTML"": 104605, ""Shell"": 77748, ""Python"": 4765772, ""Makefile"": 5587, ""Batchfile"": 120, ""JavaScript"": 28615}]"
paccmann_datasets,https://github.com/PaccMann/paccmann_datasets,24,8,250,2023-10-27 09:50:10,6,"[{""Python"": 540655}]"
weko,https://github.com/RCOSDP/weko,24,49,13777,2023-10-04 02:57:30,47,"[{""CSS"": 1781234, ""PHP"": 17978, ""HTML"": 1179788, ""Less"": 428, ""Mako"": 693, ""SCSS"": 13752, ""XSLT"": 30901, ""Jinja"": 1938, ""Shell"": 2403199, ""Python"": 22129067, ""Smarty"": 14730, ""PLpgSQL"": 234727, ""Makefile"": 335137, ""Batchfile"": 315011, ""Dockerfile"": 14319, ""JavaScript"": 5975411}]"
pass-culture-api,https://github.com/pass-culture/pass-culture-api,23,63,8866,2023-11-22 13:11:57,7,"[{""HTML"": 44510, ""Mako"": 400, ""Shell"": 4355, ""Python"": 5049168, ""PLpgSQL"": 109653, ""Dockerfile"": 1134}]"
togger,https://github.com/Virusmater/togger,23,2,82,2023-06-29 19:26:50,4,"[{""CSS"": 2101, ""HTML"": 36993, ""Mako"": 494, ""Python"": 61043, ""Dockerfile"": 119, ""JavaScript"": 11363}]"
python-vue-spa-boilerplate,https://github.com/andrebaldo/python-vue-spa-boilerplate,22,3,17,2023-08-23 12:09:08,19,"[{""Vue"": 11161, ""HTML"": 772, ""Shell"": 64, ""Python"": 16862, ""JavaScript"": 10062}]"
tcf,https://github.com/intel/tcf,22,14,3196,2023-10-30 06:57:09,30,"[{""CSS"": 39167, ""HTML"": 47375, ""Shell"": 68737, ""Python"": 4283394, ""Makefile"": 7788, ""Dockerfile"": 3429, ""JavaScript"": 28265}]"
ckan-service-provider,https://github.com/ckan/ckan-service-provider,21,21,291,2023-05-29 02:12:55,22,"[{""Python"": 97096}]"
sampledb,https://github.com/sciapp/sampledb,21,9,2966,2023-10-31 16:33:48,9,"[{""CSS"": 37822, ""HTML"": 1173795, ""Jinja"": 2699, ""Shell"": 141, ""Python"": 4828826, ""Dockerfile"": 2347, ""JavaScript"": 836611}]"
mxcubeweb,https://github.com/mxcube/mxcubeweb,20,23,4901,2023-12-06 14:29:24,35,"[{""CSS"": 39206, ""HTML"": 4672, ""Less"": 4492, ""Shell"": 5936, ""Python"": 414058, ""Dockerfile"": 1830, ""JavaScript"": 844082}]"
pyrrha,https://github.com/hipster-philology/pyrrha,20,13,399,2023-10-02 15:49:07,17,"[{""CSS"": 6874, ""HTML"": 167343, ""Shell"": 572, ""Python"": 501571, ""JavaScript"": 180471}]"
evesrp,https://github.com/paxswill/evesrp,19,5,1384,2023-05-14 12:48:07,13,"[{""HTML"": 58248, ""Less"": 799, ""Mako"": 412, ""Python"": 843736, ""Makefile"": 11752, ""Handlebars"": 10641, ""JavaScript"": 532, ""CoffeeScript"": 76643}]"
MOFSimplify,https://github.com/hjkgrp/MOFSimplify,18,3,400,2023-11-26 22:29:49,5,"[{""C"": 68686, ""R"": 3569, ""C++"": 4988977, ""Tcl"": 42037, ""HTML"": 251531, ""Perl"": 10754, ""Roff"": 12863, ""CMake"": 6810, ""Shell"": 394, ""Cython"": 65728, ""Python"": 498629, ""Gnuplot"": 634, ""Makefile"": 14661, ""JavaScript"": 234810, ""POV-Ray SDL"": 14832}]"
ScoringEngine,https://github.com/DSU-DefSec/ScoringEngine,18,2,321,2023-09-12 14:18:14,7,"[{""CSS"": 514, ""HTML"": 29340, ""TSQL"": 4789, ""Shell"": 4174, ""Python"": 112727, ""JavaScript"": 11083}]"
Swordfish-API-Emulator,https://github.com/SNIA/Swordfish-API-Emulator,18,13,249,2023-10-24 19:05:41,20,"[{""Shell"": 9308, ""Python"": 11643504}]"
freesound-explorer,https://github.com/ffont/freesound-explorer,18,4,802,2023-07-02 01:01:55,3,"[{""CSS"": 10657, ""HTML"": 1499, ""SCSS"": 24496, ""Python"": 24740, ""JavaScript"": 302941}]"
Blog-bak,https://github.com/LoRexxar/Blog-bak,16,0,172,2023-09-28 10:35:14,6,[{}]
project,https://github.com/rtp-book/project,16,2,51,2023-10-12 19:44:18,6,"[{""HTML"": 713, ""Python"": 78472, ""JavaScript"": 598}]"
signac-dashboard,https://github.com/glotzerlab/signac-dashboard,16,11,559,2023-07-19 09:17:53,6,"[{""HTML"": 24037, ""SCSS"": 13633, ""Jinja"": 1607, ""Python"": 80949, ""JavaScript"": 16883}]"
TENNISON,https://github.com/SDN-Security/TENNISON,15,3,54,2023-11-06 09:20:14,7,"[{""CSS"": 1534, ""HTML"": 182500, ""Java"": 298632, ""Less"": 9759, ""Shell"": 15110, ""Python"": 332442, ""JavaScript"": 166032}]"
keybase,https://github.com/redislabs-training/keybase,15,0,152,2023-11-17 17:49:19,2,"[{""CSS"": 20722, ""HTML"": 138275, ""Shell"": 300, ""Python"": 120321, ""Dockerfile"": 272, ""JavaScript"": 21841}]"
hackathon-2023-summer,https://github.com/parity-asia/hackathon-2023-summer,14,72,1055,2023-08-14 01:34:00,77,"[{""C"": 1425, ""Go"": 417286, ""C++"": 23722, ""CSS"": 3033491, ""EJS"": 2746, ""MDX"": 38551, ""Nix"": 6355, ""Vue"": 565144, ""Dart"": 489954, ""HTML"": 528037, ""Less"": 371904, ""Mako"": 494, ""Ruby"": 2685, ""Rust"": 38092580, ""SCSS"": 1147049, ""CMake"": 18863, ""Shell"": 79727, ""Swift"": 1990, ""Circom"": 7668, ""Elixir"": 71585, ""Kotlin"": 134, ""Python"": 1506098, ""Makefile"": 8176, ""Solidity"": 832846, ""Dockerfile"": 16128, ""Handlebars"": 45166, ""JavaScript"": 2321473, ""TypeScript"": 12627162, ""Objective-C"": 38, ""WebAssembly"": 458716, ""Jupyter Notebook"": 539282}]"
ipmon,https://github.com/mistergates/ipmon,14,0,33,2023-12-15 21:16:27,10,"[{""HTML"": 36673, ""Mako"": 494, ""Python"": 53380, ""JavaScript"": 111971}]"
collectives,https://github.com/Club-Alpin-Annecy/collectives,13,14,1011,2023-11-14 18:21:50,19,"[{""CSS"": 3540, ""HTML"": 259373, ""Mako"": 494, ""SCSS"": 62197, ""Shell"": 2227, ""Python"": 848139, ""Dockerfile"": 616, ""JavaScript"": 98954}]"
encore,https://github.com/statgen/encore,13,9,706,2023-06-21 22:02:17,6,"[{""R"": 7419, ""C++"": 21868, ""CSS"": 8506, ""HTML"": 115485, ""CMake"": 2077, ""Shell"": 155, ""Python"": 263636, ""Makefile"": 8904, ""Dockerfile"": 1704, ""JavaScript"": 134437}]"
