repo_name,repo_url,stars,contributors,commits,update_date,forks
prismo,https://github.com/hacklabkyiv/prismo,9,4,104,2023-12-22 09:22:11,0
quart-flask-patch,https://github.com/pgjones/quart-flask-patch,9,0,12,2023-10-23 16:14:40,0
shipit,https://github.com/mozilla-releng/shipit,9,29,709,2023-09-16 11:43:27,25
zesje,https://github.com/zesje/zesje,9,29,3883,2022-10-31 20:31:18,1
OctoPuppet,https://github.com/UTA-FabLab/OctoPuppet,8,174,7529,2021-03-31 06:57:45,2
TigerDataCoding,https://github.com/paigerodeghero/TigerDataCoding,8,13,107,2022-05-03 19:24:48,7
coffeebuddy,https://github.com/hackenbergstefan/coffeebuddy,8,2,189,2023-06-30 10:34:34,3
octane,https://github.com/techfreaque/octane,8,2,132,2023-11-24 22:25:54,7
opac,https://github.com/scieloorg/opac,8,19,1937,2023-08-23 18:14:53,22
p2k16,https://github.com/bitraf/p2k16,8,14,481,2022-12-15 14:34:51,10
ApiLogicServer-src,https://github.com/ApiLogicServer/ApiLogicServer-src,7,2,566,2023-11-26 10:57:16,0
VSOURCE_FACE_PLATFORM,https://github.com/VSOURCE-Platform/VSOURCE_FACE_PLATFORM,7,2,125,2021-11-09 11:52:11,0
akvo-tech-consultancy,https://github.com/akvo/akvo-tech-consultancy,7,18,1987,2023-11-22 06:54:53,2
dds_web,https://github.com/ScilifelabDataCentre/dds_web,7,13,5794,2023-10-10 07:47:28,7
padwoman,https://github.com/HackHerz/padwoman,7,2,108,2022-02-10 17:04:10,4
weave,https://github.com/razzius/weave,7,5,945,2023-08-18 16:30:08,2
Code9ja,https://github.com/BrightDaniel/Code9ja,6,0,28,2023-10-02 23:27:06,5
emhub,https://github.com/3dem/emhub,6,3,792,2023-10-20 14:07:59,2
fuzzbucket,https://github.com/rstudio/fuzzbucket,6,4,453,2023-10-17 01:41:57,2
infilcheck,https://github.com/jonnykry/infilcheck,6,3,317,2023-08-31 17:05:34,3
superset-patchup,https://github.com/onaio/superset-patchup,6,10,134,2023-11-01 14:58:43,7
2018-PyDash.io,https://github.com/RUGSoftEng/2018-PyDash.io,5,10,1387,2020-09-05 13:09:05,2
FlaskRepository,https://github.com/greatabel/FlaskRepository,5,2,246,2023-08-09 03:36:49,0
PyOpenBBSMiddleware,https://github.com/Ptt-official-app/PyOpenBBSMiddleware,5,2,40,2020-12-15 23:52:03,2
SME-PratoAberto-Editor,https://github.com/prefeiturasp/SME-PratoAberto-Editor,5,10,321,2022-01-26 19:30:53,6
SaaS-in-a-Flask,https://github.com/navanchauhan/SaaS-in-a-Flask,5,3,157,2023-07-04 22:30:37,0
Trombi,https://github.com/Mogmi95/Trombi,5,2,257,2020-09-15 14:41:55,1
admin-gsc,https://github.com/bujnlc8/admin-gsc,5,0,29,2023-11-03 15:40:43,6
anki-language-tools,https://github.com/Language-Tools/anki-language-tools,5,0,607,2023-08-20 14:53:53,0
ao3-web-reader,https://github.com/zNitche/ao3-web-reader,5,0,96,2023-12-20 21:16:18,0
atlanticwave-proto,https://github.com/atlanticwave-sdx/atlanticwave-proto,5,8,949,2023-07-24 07:17:36,6
binder_gallery,https://github.com/gesiscss/binder_gallery,5,3,216,2023-02-16 16:13:25,1
estimagus,https://github.com/matejak/estimagus,5,0,290,2023-06-21 09:15:52,0
flask-paseto-extended,https://github.com/dajiaji/flask-paseto-extended,5,3,321,2023-12-06 01:54:12,0
flasquelistan,https://github.com/teknologkoren/flasquelistan,5,5,475,2022-11-02 23:24:33,3
invenio-accounts,https://github.com/inveniosoftware/invenio-accounts,5,63,1280,2022-11-16 15:24:21,65
neurohealth.care,https://github.com/denisafanasev/neurohealth.care,5,3,732,2023-08-24 07:18:08,0
notasi,https://github.com/tullyclark/notasi,5,3,293,2023-10-05 00:23:34,2
pcra,https://github.com/JennaSys/pcra,5,0,68,2023-05-30 03:34:36,2
pia-lara,https://github.com/PIALARA/pia-lara,5,15,251,2023-01-31 21:01:22,10
postmodern-paste,https://github.com/postmodern-paste/postmodern-paste,5,7,256,2022-10-25 01:10:30,0
prompt-linter,https://github.com/pisterlabs/prompt-linter,5,4,126,2023-12-23 08:17:20,4
reana-server,https://github.com/reanahub/reana-server,5,16,598,2022-11-22 16:43:10,30
repocribro,https://github.com/MarekSuchanek/repocribro,5,0,241,2021-01-13 11:19:01,2
sedmpy,https://github.com/scizen9/sedmpy,5,5,1700,2022-02-16 22:57:00,4
utils,https://github.com/Ctrlsman/utils,5,2,28,2020-03-13 03:32:56,0
